C:\Users\USER\anaconda3\envs\nnunet\Lib\site-packages\monai\inferers\utils.py:226: UserWarning: Using a non-tuple sequence for multidimensional indexing is deprecated and will be changed in pytorch 2.9; use x[tuple(seq)] instead of x[seq]. In pytorch 2.9 this will be interpreted as tensor index, x[torch.tensor(seq)], which will result either in an error or a different result (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\autograd\python_variable_indexing.cpp:353.)
  win_data = torch.cat([inputs[win_slice] for win_slice in unravel_slice]).to(sw_device)
C:\Users\USER\anaconda3\envs\nnunet\Lib\site-packages\monai\inferers\utils.py:370: UserWarning: Using a non-tuple sequence for multidimensional indexing is deprecated and will be changed in pytorch 2.9; use x[tuple(seq)] instead of x[seq]. In pytorch 2.9 this will be interpreted as tensor index, x[torch.tensor(seq)], which will result either in an error or a different result (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\pytorch\torch\csrc\autograd\python_variable_indexing.cpp:353.)
  out[idx_zm] += p
[2026-06-01 19:08:52] INFO epoch 0 val MAE(HU): 108.91
[2026-06-01 19:08:52] INFO new best MAE: 108.91 ¡æ saved best.pth
[2026-06-01 19:09:41] INFO epoch 1 it 50/1704 loss 0.0878
[2026-06-01 19:09:42] INFO epoch 1 it 100/1704 loss 0.0862
[2026-06-01 19:09:43] INFO epoch 1 it 150/1704 loss 0.0869
[2026-06-01 19:09:44] INFO epoch 1 it 200/1704 loss 0.0866
[2026-06-01 19:09:45] INFO epoch 1 it 250/1704 loss 0.0862
[2026-06-01 19:09:46] INFO epoch 1 it 300/1704 loss 0.0836
[2026-06-01 19:09:47] INFO epoch 1 it 350/1704 loss 0.0897
[2026-06-01 19:09:48] INFO epoch 1 it 400/1704 loss 0.0851
[2026-06-01 19:09:48] INFO epoch 1 it 450/1704 loss 0.0893
[2026-06-01 19:09:49] INFO epoch 1 it 500/1704 loss 0.0861
[2026-06-01 19:09:50] INFO epoch 1 it 550/1704 loss 0.0856
[2026-06-01 19:09:51] INFO epoch 1 it 600/1704 loss 0.0841
[2026-06-01 19:09:52] INFO epoch 1 it 650/1704 loss 0.0887
[2026-06-01 19:09:53] INFO epoch 1 it 700/1704 loss 0.0843
[2026-06-01 19:09:54] INFO epoch 1 it 750/1704 loss 0.0873
[2026-06-01 19:09:55] INFO epoch 1 it 800/1704 loss 0.0895
[2026-06-01 19:09:56] INFO epoch 1 it 850/1704 loss 0.0895
[2026-06-01 19:09:57] INFO epoch 1 it 900/1704 loss 0.0877
[2026-06-01 19:09:58] INFO epoch 1 it 950/1704 loss 0.0865
[2026-06-01 19:09:59] INFO epoch 1 it 1000/1704 loss 0.0853
[2026-06-01 19:10:00] INFO epoch 1 it 1050/1704 loss 0.0854
[2026-06-01 19:10:01] INFO epoch 1 it 1100/1704 loss 0.0867
[2026-06-01 19:10:01] INFO epoch 1 it 1150/1704 loss 0.0872
[2026-06-01 19:10:02] INFO epoch 1 it 1200/1704 loss 0.0860
[2026-06-01 19:10:03] INFO epoch 1 it 1250/1704 loss 0.0874
[2026-06-01 19:10:04] INFO epoch 1 it 1300/1704 loss 0.0861
[2026-06-01 19:10:05] INFO epoch 1 it 1350/1704 loss 0.0871
[2026-06-01 19:10:06] INFO epoch 1 it 1400/1704 loss 0.0886
